,diversity_index,housing_index,income_index,urban_index,zip5,ZIPName,State,ZCTA5
6872,0.0943187775641,0.0139556474939,0.587165939674,0.0943187775641,47338,"Eaton, IN",IN,47338
6873,0.0603719506193,0.0169299779458,0.602535528318,0.0603719506193,47340,"Farmland, IN",IN,47340
6874,0.0157496904289,0.0185833144364,0.648591410351,0.0157496904289,47342,"Gaston, IN",IN,47342
6875,0.0447365190344,0.0217883461769,0.594697312593,0.0447365190344,47346,"Hagerstown, IN",IN,47346
6876,0.0730443926864,0.01047152292,0.555076771245,0.0730443926864,47348,"Hartford City, IN",IN,47348
6877,0.0613387395206,0.0228942913364,0.566020086769,0.0613387395206,47353,"Liberty, IN",IN,47353
6878,0.061172968377,0.0172347620493,0.569922425262,0.061172968377,47354,"Losantville, IN",IN,47354
6879,0.0437541825009,0.0107026560982,0.527000840562,0.0437541825009,47359,"Montpelier, IN",IN,47359
6880,0.167552329055,0.0126957111209,0.492609659721,0.167552329055,47362,"New Castle, IN",IN,47362
6881,0.145205863497,0.0150446204294,0.574709051761,0.145205863497,47368,"Parker City, IN",IN,47368
6882,0.107313112908,0.0145820027158,0.570662892084,0.107313112908,47371,"Portland, IN",IN,47371
6883,0.0341177343133,0.0110847493663,0.560532022429,0.0341177343133,47373,"Redkey, IN",IN,47373
6884,0.302630382025,0.0152716697996,0.480267142632,0.302630382025,47374,"Richmond, IN",IN,47374
6885,0.081022114679,0.0257168831025,0.602454268851,0.081022114679,47384,"Shirley, IN",IN,47384
6886,0.00736547762915,0.0151426410809,0.646292674481,0.00736547762915,47385,"Spiceland, IN",IN,47385
6887,0.101071998953,0.0313109476687,0.653988898551,0.101071998953,47386,"Springport, IN",IN,47386
6888,0.307278294649,0.0529771150429,0.507063990857,0.307278294649,47401,"Bloomington, IN",IN,47401
6889,0.248659736839,0.0350027784417,0.552315197241,0.248659736839,47403,"Bloomington, IN",IN,47403
6890,0.252817234586,0.0385676321313,0.452279992305,0.252817234586,47404,"Bloomington, IN",IN,47404
