ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z04858,4858,29501247,8359032,11.39,3.23,1533,860,44.047854,-69.156345
Z04859,4859,17161745,22941269,6.63,8.86,724,612,43.999115,-69.144356
Z04860,4860,46195451,46887193,17.84,18.1,1591,1261,43.979596,-69.21605
Z04861,4861,28326258,1392261,10.94,0.54,2781,1385,44.107601,-69.171387
Z04862,4862,168344362,7915800,65,3.06,3592,1859,44.262707,-69.277723
Z04863,4863,60367605,75090567,23.31,28.99,1165,1295,44.068908,-68.853259
Z04864,4864,120361160,5899848,46.47,2.28,4751,1760,44.128546,-69.243193
Z04901,4901,204123376,7715264,78.81,2.98,26248,11921,44.540353,-69.575174
Z04910,4910,100560698,1637669,38.83,0.63,2041,923,44.508044,-69.445253
Z04911,4911,165093603,1620516,63.74,0.63,2136,1155,44.769926,-69.972548
Z04912,4912,154367029,1033337,59.6,0.4,1048,596,44.980705,-69.689878
Z04915,4915,189184086,16183652,73.04,6.25,8806,4744,44.463502,-69.037571
Z04917,4917,102858901,37101132,39.71,14.32,2849,1727,44.487708,-69.839488
Z04918,4918,9265168,945469,3.58,0.37,349,480,44.51573,-69.866232
Z04920,4920,659206338,27576990,254.52,10.65,1713,1204,45.142341,-69.854458
Z04921,4921,122904915,2081439,47.45,0.8,1593,817,44.560894,-69.136548
Z04922,4922,100726143,6044800,38.89,2.33,1164,714,44.688545,-69.384813
Z04923,4923,55316679,185148,21.36,0.07,482,268,45.029009,-69.445746
Z04924,4924,106594006,2510153,41.16,0.97,2275,1105,44.782241,-69.546315
Z04925,4925,147241863,8154706,56.85,3.15,75,264,45.212372,-69.903396
Z04926,4926,280174,0,0.11,0,52,26,44.480122,-69.513908
Z04927,4927,113631606,2377926,43.87,0.92,3486,1547,44.659788,-69.531675
Z04928,4928,100175076,2007967,38.68,0.78,2198,1075,44.943693,-69.258217
Z04929,4929,51499327,429316,19.88,0.17,837,373,44.772109,-69.302176
Z04930,4930,139740820,6254537,53.95,2.41,4295,2413,45.027572,-69.31797
Z04932,4932,93987426,375583,36.29,0.15,1181,557,44.69757,-69.143702
Z04933,4933,240546,0,0.09,0,65,20,44.816495,-69.231348
Z04936,4936,1141865719,19852214,440.88,7.66,261,774,45.421946,-70.624426
Z04937,4937,134914945,2058284,52.09,0.79,6645,2968,44.651653,-69.661276
Z04938,4938,317830320,7182137,122.71,2.77,9869,4741,44.661856,-70.103104
Z04939,4939,97565112,696629,37.67,0.27,1105,552,45.077258,-69.158771
Z04940,4940,1255054,42173,0.48,0.02,118,57,44.623994,-70.083293
Z04941,4941,166233344,3045766,64.18,1.18,1751,896,44.46719,-69.285662
Z04942,4942,373661098,8753902,144.27,3.38,1326,1180,45.077022,-69.586446
Z04943,4943,96168236,15153096,37.13,5.85,1792,1117,44.879823,-69.5205
Z04944,4944,4163214,91413,1.61,0.04,42,20,44.692647,-69.646718
Z04945,4945,2390964229,81471767,923.16,31.46,1242,1502,45.869719,-70.266346
Z04947,4947,326929202,768877,126.23,0.3,1852,2851,45.049549,-70.269486
Z04949,4949,67341357,6213280,26,2.4,913,718,44.37103,-69.333664
Z04950,4950,134368258,7623563,51.88,2.94,4855,2478,44.826354,-69.799713
Z04951,4951,104365450,275335,40.3,0.11,906,468,44.607516,-69.07076
