ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z58278,58278,319675456,1053595,123.43,0.41,1988,738,47.770086,-97.121538
Z58281,58281,323546109,7117433,124.92,2.75,124,68,48.85584,-98.616489
Z58282,58282,614695234,812744,237.34,0.31,1441,763,48.912003,-97.940624
Z58301,58301,629454581,187469650,243.03,72.38,9864,4661,48.142106,-98.871704
Z58311,58311,285195732,3724058,110.11,1.44,60,57,48.6521,-98.590163
Z58316,58316,305517201,14732631,117.96,5.69,6486,2242,48.8243,-99.776962
Z58317,58317,354096403,2618062,136.72,1.01,226,155,48.605338,-99.373909
Z58318,58318,740529609,31746724,285.92,12.26,3684,2707,48.858254,-100.398144
Z58321,58321,318979846,14697280,123.16,5.67,161,117,48.200714,-98.344818
Z58323,58323,148814266,1497885,57.46,0.58,47,28,48.855224,-98.885163
Z58324,58324,632252973,11986622,244.11,4.63,1345,831,48.479397,-99.220944
Z58325,58325,277867140,36314357,107.29,14.02,92,49,48.290313,-99.148558
Z58327,58327,410450733,39192950,158.48,15.13,390,177,48.100954,-98.594379
Z58329,58329,596212970,38050765,230.2,14.69,3313,1233,48.873307,-100.079593
Z58330,58330,435279468,4037117,168.06,1.56,341,218,48.449502,-98.459621
Z58331,58331,264916787,6792478,102.28,2.62,122,97,48.639292,-99.088781
Z58332,58332,546538050,20162907,211.02,7.78,320,241,48.044159,-99.772971
Z58335,58335,76074748,6911794,29.37,2.67,1694,409,47.986582,-99.021353
Z58338,58338,205123815,4054760,79.2,1.57,105,72,48.537137,-98.624443
Z58339,58339,80068305,889545,30.91,0.34,47,30,48.899531,-99.436299
Z58341,58341,1187176380,18193296,458.37,7.02,2597,1459,47.782102,-99.844409
Z58343,58343,165923604,5555992,64.06,2.15,81,53,48.303796,-99.729507
Z58344,58344,539585870,12437465,208.34,4.8,958,539,48.027839,-98.341509
Z58345,58345,355353483,11330892,137.2,4.37,158,113,48.307009,-98.366226
Z58346,58346,534322555,20013426,206.3,7.73,650,409,48.287375,-99.427696
Z58348,58348,665143610,7178648,256.81,2.77,727,440,47.971665,-99.52109
Z58351,58351,453107428,7703683,174.95,2.97,478,309,48.099065,-99.278079
Z58352,58352,565968833,19596536,218.52,7.57,435,237,48.710574,-98.872781
Z58353,58353,226227448,5620131,87.35,2.17,140,66,48.634662,-99.596632
Z58355,58355,114960980,1607271,44.39,0.62,84,61,48.590751,-98.36642
Z58356,58356,752249716,3709603,290.45,1.43,1751,954,47.678659,-99.085157
Z58357,58357,305885454,14225929,118.1,5.49,364,160,47.94846,-99.238515
Z58361,58361,339927682,4576578,131.25,1.77,190,143,47.752479,-98.339226
Z58362,58362,83278108,631676,32.15,0.24,82,43,48.212202,-99.085481
Z58363,58363,164963203,397073,63.69,0.15,83,43,48.755027,-99.447307
Z58365,58365,767730303,13247108,296.42,5.11,304,222,48.859376,-99.252883
Z58366,58366,639266204,24233988,246.82,9.36,1080,505,48.653521,-99.874028
Z58367,58367,328959997,2348628,127.01,0.91,1707,783,48.870402,-99.580643
Z58368,58368,1678826928,106926891,648.2,41.28,3801,1895,48.260871,-100.05322
Z58369,58369,176870351,17225302,68.29,6.65,1231,574,48.943639,-99.797108
Z58370,58370,133149260,13787138,51.41,5.32,1280,404,47.985178,-98.834887
Z58372,58372,276764472,3058880,106.86,1.18,106,77,48.945191,-98.996927
Z58374,58374,674153843,6866343,260.29,2.65,640,356,47.839573,-99.097658
Z58377,58377,603922053,13098064,233.18,5.06,334,196,48.464438,-98.872823
Z58379,58379,36051229,714161,13.92,0.28,360,198,47.905577,-98.843555
Z58380,58380,444668807,25226760,171.69,9.74,442,265,47.825153,-98.501854
Z58381,58381,392743367,28329063,151.64,10.94,317,175,47.825765,-98.748768
Z58382,58382,344280943,12688014,132.93,4.9,163,96,48.318151,-98.778792
Z58384,58384,1014878989,15121440,391.85,5.84,549,353,48.595867,-100.26556
Z58385,58385,318658597,14511189,123.03,5.6,225,117,48.479811,-99.656395
Z58386,58386,305878266,17598185,118.1,6.79,134,93,48.305995,-99.598337
Z58401,58401,1093445105,20900304,422.18,8.07,17142,8103,46.884369,-98.766655
Z58402,58402,446362,0,0.17,0,260,0,46.880348,-98.687205
Z58405,58405,110712,0,0.04,0,427,0,46.915167,-98.699439
Z58413,58413,1174000801,43473500,453.28,16.79,1150,797,46.035752,-99.293167
Z58415,58415,153548611,53520,59.29,0.02,145,61,46.373334,-98.489402
Z58416,58416,445804340,9736111,172.13,3.76,440,358,47.528938,-98.347887
Z58418,58418,555946688,11122335,214.65,4.29,353,230,47.420589,-99.638974
Z58420,58420,420085158,17852778,162.2,6.89,314,137,47.061018,-98.85844
Z58421,58421,1003331147,18926819,387.39,7.31,2850,1434,47.440419,-99.076593
Z58422,58422,382788740,2881848,147.8,1.11,195,109,47.600221,-99.40523
Z58423,58423,259038803,12010191,100.02,4.64,78,64,47.401106,-99.836299
Z58424,58424,468248217,28258773,180.79,10.91,301,165,46.887399,-99.110117
Z58425,58425,553984986,1836364,213.89,0.71,1379,742,47.45637,-98.1247
Z58426,58426,356093615,4130754,137.49,1.59,200,111,47.218524,-98.589253
Z58428,58428,375030776,45615821,144.8,17.61,271,361,46.828271,-99.779393
Z58429,58429,346703289,12107363,133.86,4.67,357,240,47.190008,-98.158296
Z58430,58430,242126908,6598771,93.49,2.55,112,71,47.508825,-100.256876
Z58431,58431,184236309,176143,71.13,0.07,132,83,46.510931,-98.486606
Z58433,58433,797856328,1086312,308.05,0.42,1092,559,46.370064,-98.71208
Z58436,58436,822044786,1492913,317.39,0.58,1965,1008,46.089591,-98.581639
Z58438,58438,385965949,5989100,149.02,2.31,625,382,47.666874,-99.602381
Z58439,58439,374313168,2900849,144.52,1.12,310,105,45.975635,-98.829165
Z58440,58440,598481466,8325681,231.07,3.21,181,147,46.253311,-99.163638
Z58441,58441,378572236,1179361,146.17,0.46,389,170,46.175288,-98.368493
Z58442,58442,572848978,12724404,221.18,4.91,478,331,46.553679,-99.179594
Z58443,58443,260540229,2420522,100.6,0.93,200,126,47.449844,-98.681116
Z58444,58444,479276503,22010578,185.05,8.5,192,180,47.494062,-100.129143
Z58445,58445,142732731,4064648,55.11,1.57,160,153,47.5659,-98.809454
Z58448,58448,378923105,1654356,146.3,0.64,347,195,47.305957,-98.225008
Z58451,58451,339681040,11644017,131.15,4.5,185,121,47.44714,-99.958447
Z58452,58452,4189432,0,1.62,0,27,15,47.547759,-98.231235
Z58454,58454,634432005,5062007,244.96,1.95,360,216,46.588077,-98.95332
Z58455,58455,364719556,11702509,140.82,4.52,303,162,47.304908,-98.766798
Z58456,58456,581850482,7155467,224.65,2.76,523,364,46.265514,-98.954289
Z58458,58458,493652368,4701290,190.6,1.82,1397,650,46.367931,-98.293851
Z58460,58460,463986437,17106626,179.15,6.6,230,200,46.301694,-99.324558
Z58461,58461,525088697,831577,202.74,0.32,413,251,46.652585,-98.194794
Z58463,58463,1010619268,17730835,390.2,6.85,651,432,47.493414,-100.471014
Z58464,58464,473724027,15400109,182.91,5.95,242,146,47.610726,-98.565277
Z58466,58466,417200989,1126647,161.08,0.44,355,203,46.623799,-98.368908
Z58467,58467,583070029,39183511,225.12,15.13,606,331,46.884858,-99.330649
Z58472,58472,420912378,659965,162.52,0.25,419,209,46.638569,-98.650249
Z58474,58474,982103658,7103512,379.19,2.74,2681,1291,46.100294,-98.127097
Z58475,58475,366419979,29594198,141.48,11.43,150,127,47.179947,-99.555396
Z58476,58476,624910482,21702468,241.28,8.38,271,156,47.200511,-99.011587
Z58477,58477,342862523,1424614,132.38,0.55,148,92,47.218894,-100.504652
Z58478,58478,386125760,25522410,149.08,9.85,135,144,47.175493,-99.749464
Z58479,58479,164283394,9788780,63.43,3.78,192,173,47.092281,-98.182703
Z58480,58480,331784027,9445539,128.1,3.65,340,155,46.957653,-98.259449
Z58481,58481,352639243,9505980,136.15,3.67,272,133,46.927787,-98.428684
Z58482,58482,603512196,29423653,233.02,11.36,1003,496,46.853459,-99.899917
Z58483,58483,413876837,24033117,159.8,9.28,340,236,46.646328,-99.42977
Z58484,58484,153442214,963919,59.24,0.37,65,55,47.375996,-98.485054
Z58486,58486,406174341,8265407,156.82,3.19,262,151,47.39136,-99.382028
Z58487,58487,639201377,25886907,246.8,9.99,444,235,46.856767,-99.605672
Z58488,58488,596926020,25611468,230.47,9.89,258,194,47.176298,-99.994035
Z58490,58490,328695909,2202184,126.91,0.85,240,134,46.376985,-98.065932
Z58492,58492,364703260,5039981,140.81,1.95,481,227,47.156398,-98.44132
Z58494,58494,880511791,27780050,339.97,10.73,350,203,47.184778,-100.262723
Z58495,58495,925519446,15052942,357.35,5.81,1332,755,46.277793,-99.604874
Z58496,58496,554141340,39557681,213.96,15.27,182,128,47.14646,-99.328693
Z58497,58497,287635609,13490,111.06,0.01,326,144,46.765067,-98.549987
Z58501,58501,62828782,165652,24.26,0.06,28055,13182,46.816035,-100.700296
Z58503,58503,344008563,5219511,132.82,2.02,25734,10872,46.90412,-100.750302
Z58504,58504,268113806,21251069,103.52,8.21,24342,10169,46.737571,-100.678406
Z58505,58505,581761,0,0.22,0,2,1,46.820212,-100.780917
Z58520,58520,472571919,133985,182.46,0.05,264,144,46.674204,-101.576122
Z58521,58521,392775388,2904554,151.65,1.12,658,263,47.008103,-100.693945
Z58523,58523,677769113,38685408,261.69,14.94,3619,1897,47.257221,-101.779709
Z58524,58524,279351548,595202,107.86,0.23,100,70,46.600122,-100.07366
Z58528,58528,175204684,18820276,67.65,7.27,798,195,46.338619,-100.636812
Z58529,58529,1148882599,675519,443.59,0.26,660,381,46.295012,-101.559699
Z58530,58530,871285217,19144050,336.41,7.39,1193,611,47.127782,-101.14292
Z58531,58531,297359210,80601242,114.81,31.12,307,279,47.567259,-101.195631
Z58532,58532,585997866,10164380,226.26,3.92,297,146,46.857611,-100.108874
Z58533,58533,819059406,3967885,316.24,1.53,945,760,46.405842,-101.789702
Z58535,58535,860420753,522196,332.21,0.2,571,303,46.501789,-101.247288
Z58538,58538,456106109,68078614,176.1,26.29,2489,745,46.109619,-100.689563
Z58540,58540,1005241054,339004081,388.13,130.89,2449,1393,47.628881,-101.727334
Z58541,58541,479039647,69006715,184.96,26.64,364,206,47.366124,-102.068222
Z58542,58542,507273524,5000090,195.86,1.93,324,168,46.050849,-100.009897
Z58544,58544,867601296,26923511,334.98,10.4,551,318,46.512194,-100.370811
Z58545,58545,798066012,63224695,308.14,24.41,3461,1828,47.357925,-101.591236
Z58549,58549,497048963,6874541,191.91,2.65,214,106,46.479104,-99.92971
Z58552,58552,1416184626,34889751,546.79,13.47,1797,1122,46.2472,-100.28306
Z58554,58554,1591736503,42709499,614.57,16.49,22884,9792,46.742723,-100.9353
Z58558,58558,412940682,475785,159.44,0.18,812,327,46.829735,-100.488304
Z58559,58559,412559631,17208963,159.29,6.64,218,354,47.489371,-100.728214
Z58560,58560,245887954,21178044,94.94,8.18,161,85,46.678439,-100.265129
Z58561,58561,856703700,9001146,330.78,3.48,1085,549,46.48715,-99.682891
Z58562,58562,755586282,9573916,291.73,3.7,415,297,46.37735,-101.996874
Z58563,58563,1409994325,4271289,544.4,1.65,1977,906,46.898984,-101.439257
Z58564,58564,305983794,82502,118.14,0.03,92,64,46.266095,-101.344234
Z58565,58565,7458792,338070,2.88,0.13,209,192,47.493482,-101.370899
Z58566,58566,212109601,0,81.9,0,180,75,46.583219,-100.925343
Z58568,58568,1202833869,767558,464.42,0.3,535,227,46.087314,-101.045286
Z58569,58569,361477884,104544,139.57,0.04,77,52,46.268099,-101.19937
Z58570,58570,728890500,229343,281.43,0.09,397,168,46.381918,-100.887669
Z58571,58571,301881974,6672824,116.56,2.58,603,320,47.2795,-101.397673
Z58572,58572,448050097,875306,172.99,0.34,319,171,46.857026,-100.341305
Z58573,58573,531000139,4061810,205.02,1.57,674,343,46.098273,-100.201007
Z58575,58575,610605236,20173360,235.76,7.79,920,579,47.567272,-100.896029
Z58576,58576,431902834,6871900,166.76,2.65,953,465,47.436908,-101.214234
Z58577,58577,487071484,12732151,188.06,4.92,1671,900,47.317793,-101.052285
Z58579,58579,671729803,5473434,259.36,2.11,1190,609,47.179421,-100.738366
Z58580,58580,424712005,1598234,163.98,0.62,455,229,47.267529,-101.943318
Z58581,58581,353575350,406433,136.52,0.16,258,189,46.035178,-99.774432
Z58601,58601,1488387804,7252573,574.67,2.8,21078,9184,46.916872,-102.834258
Z58620,58620,608003435,1842386,234.75,0.71,132,82,46.520262,-103.330485
Z58621,58621,1038476996,1481776,400.96,0.57,1231,730,47.088368,-103.930449
Z58622,58622,1620564646,3583623,625.7,1.38,1489,743,46.894005,-103.263285
Z58623,58623,1508531685,7145288,582.45,2.76,2370,1208,46.187311,-103.43373
Z58625,58625,260042307,616347,100.4,0.24,185,126,47.268133,-102.199765
Z58626,58626,427771229,11568979,165.16,4.47,262,158,47.383027,-102.622965
Z58627,58627,707094147,1040310,273.01,0.4,154,83,47.240135,-103.299937
Z58630,58630,523154127,1345484,201.99,0.52,502,249,46.944101,-102.57856
Z58631,58631,959303778,5679136,370.39,2.19,1150,610,46.806565,-101.800739
Z58632,58632,207269648,256532,80.03,0.1,149,95,46.665985,-103.965986
Z58634,58634,1069138146,4353754,412.8,1.68,251,152,47.423095,-103.316291
Z58636,58636,1119573514,49646010,432.27,19.17,706,517,47.379346,-102.367171
Z58638,58638,901644220,2515624,348.13,0.97,992,533,46.945999,-102.045415
Z58639,58639,1152510614,1476523,444.99,0.57,1816,1048,46.094238,-102.602641
Z58640,58640,1127272279,5346971,435.24,2.06,1344,674,47.441538,-102.908533
Z58641,58641,182674957,101035,70.53,0.04,79,56,46.667877,-102.513912
Z58642,58642,443185615,812157,171.11,0.31,334,136,47.209459,-102.840448
Z58643,58643,761128994,3467371,293.87,1.34,191,129,46.330898,-103.944785
Z58645,58645,1085171468,8232773,418.99,3.18,238,198,46.951266,-103.55235
Z58646,58646,1450399310,2455184,560,0.95,1138,667,46.392913,-102.287643
Z58647,58647,1339636560,878668,517.24,0.34,1142,596,46.518902,-102.936294
Z58649,58649,667069505,757386,257.56,0.29,321,219,46.126274,-102.922871
Z58650,58650,810901483,830700,313.09,0.32,393,248,46.44305,-102.582946
Z58651,58651,1772369389,4250635,684.32,1.64,475,277,46.255912,-103.733341
Z58652,58652,996363938,4547069,384.7,1.76,987,487,46.894071,-102.241813
Z58653,58653,1056508148,7094257,407.92,2.74,601,347,46.097262,-103.130557
Z58654,58654,1230838485,3250480,475.23,1.26,289,141,46.88723,-103.79485
Z58655,58655,256557612,609769,99.06,0.24,484,200,46.781105,-103.030395
Z58656,58656,473972304,1514683,183,0.58,366,213,46.943037,-102.458368
Z58701,58701,571802084,8170855,220.77,3.15,28368,13381,48.144826,-101.326016
Z58702,58702,12695,0,0,0,0,0,48.232139,-101.293788
Z58703,58703,415944709,2995265,160.6,1.16,19396,8278,48.334038,-101.307237
Z58704,58704,4753839,251078,1.84,0.1,4770,1463,48.424722,-101.320944
Z58705,58705,385419,0,0.15,0,751,0,48.422342,-101.33391
Z58707,58707,164989,0,0.06,0,509,0,48.246218,-101.30052
Z58710,58710,479121828,25665754,184.99,9.91,469,276,47.868061,-100.231091
Z58711,58711,305513966,1085639,117.96,0.42,211,121,48.929575,-101.28909
Z58712,58712,308392660,8207075,119.07,3.17,155,90,47.970973,-100.531684
Z58713,58713,70143318,315914,27.08,0.12,35,21,48.538378,-100.581797
Z58716,58716,183943116,3592952,71.02,1.39,147,82,47.804326,-101.067845
Z58718,58718,1071296214,60716782,413.63,23.44,1040,456,48.305559,-101.803517
Z58721,58721,618992032,20833602,238.99,8.04,529,334,48.80308,-102.273464
Z58722,58722,163032350,2079720,62.95,0.8,1516,592,48.238173,-101.501497
Z58723,58723,533246980,18987365,205.89,7.33,236,206,47.745887,-100.596246
Z58725,58725,373947879,2432530,144.38,0.94,341,157,48.49549,-101.680009
Z58727,58727,644807401,8337686,248.96,3.22,279,250,48.839872,-102.796831
Z58730,58730,639271214,17381546,246.82,6.71,1295,749,48.864883,-103.316671
Z58731,58731,307219343,503932,118.62,0.19,300,143,48.436748,-100.984013
Z58733,58733,241595489,8488583,93.28,3.28,402,164,48.175009,-101.587881
Z58734,58734,487335566,10699782,188.16,4.13,241,151,48.513686,-101.935295
Z58735,58735,513039267,12017783,198.09,4.64,314,304,47.870209,-101.48127
Z58736,58736,416389086,21998422,160.77,8.49,452,305,47.930851,-100.396626
Z58737,58737,354129092,5502075,136.73,2.12,140,129,48.915978,-102.382326
Z58740,58740,432429873,583155,166.96,0.23,755,343,48.468901,-101.224182
Z58741,58741,420153059,6105045,162.22,2.36,554,277,48.2768,-100.830825
Z58744,58744,224102087,1854143,86.53,0.72,143,110,48.116546,-100.61532
Z58746,58746,1132258857,23611723,437.17,9.12,1620,836,48.713443,-102.094053
Z58748,58748,309013861,17118564,119.31,6.61,148,120,48.681729,-100.654837
Z58750,58750,573297490,8732621,221.35,3.37,528,250,48.610954,-101.397529
Z58752,58752,174845662,1979546,67.51,0.76,223,137,48.829491,-102.579963
Z58755,58755,230352585,1918287,88.94,0.74,129,95,48.625886,-102.951118
Z58756,58756,230409713,3354976,88.96,1.3,250,140,47.970898,-101.814643
Z58757,58757,957596910,134214266,369.73,51.82,909,507,47.686282,-102.555817
Z58758,58758,286864895,9791286,110.76,3.78,222,129,47.782028,-100.101707
Z58759,58759,599762584,8397043,231.57,3.24,821,374,47.855616,-101.238927
Z58760,58760,392436614,962839,151.52,0.37,254,146,48.6973,-101.15762
Z58761,58761,727683482,8942697,280.96,3.45,1104,612,48.784372,-101.534814
Z58762,58762,282682423,6003070,109.14,2.32,246,149,48.673209,-100.940088
Z58763,58763,1341813768,272666491,518.08,105.28,3502,1917,47.990944,-102.564713
Z58765,58765,415252618,5894115,160.33,2.28,248,184,48.873295,-103.042817
Z58768,58768,202386023,204600,78.14,0.08,282,122,48.233235,-101.003629
Z58769,58769,527726978,14656988,203.76,5.66,229,196,48.319909,-102.202714
Z58770,58770,642915206,73412068,248.23,28.34,1240,818,47.884344,-102.169646
Z58771,58771,717226794,18686425,276.92,7.21,453,265,48.088309,-101.976214
Z58772,58772,129468786,1058424,49.99,0.41,137,94,48.959569,-102.622887
Z58773,58773,808660602,25504180,312.23,9.85,687,405,48.58258,-102.657837
Z58775,58775,223232392,1284805,86.19,0.5,290,119,47.710059,-101.861201
Z58776,58776,432432609,4070696,166.96,1.57,298,153,48.247805,-102.623232
Z58778,58778,350910412,3609214,135.49,1.39,133,243,47.787886,-100.934223
Z58779,58779,741675167,8205708,286.36,3.17,367,215,47.869388,-101.775409
Z58781,58781,277738470,720494,107.24,0.28,695,298,48.015761,-101.132721
Z58782,58782,491445201,701113,189.75,0.27,436,231,48.944346,-101.704669
Z58783,58783,681580443,6426880,263.16,2.48,346,232,48.879354,-100.76366
Z58784,58784,830812541,29923369,320.78,11.55,2330,962,48.36436,-102.417701
Z58785,58785,118803243,269989,45.87,0.1,1091,392,48.307789,-101.089369
Z58787,58787,272222958,9244958,105.11,3.57,136,148,48.756322,-101.813659
Z58788,58788,1384611179,26193067,534.6,10.11,1124,647,48.345799,-100.467754
Z58789,58789,364515108,16648356,140.74,6.43,321,217,48.553182,-100.808895
Z58790,58790,475947665,1516058,183.76,0.59,1585,693,48.029571,-100.947714
Z58792,58792,423170320,9656598,163.39,3.73,227,138,47.971228,-100.746785
Z58793,58793,422747349,8884869,163.22,3.43,609,315,48.872191,-101.049811
Z58794,58794,252461751,23253582,97.48,8.98,159,150,48.268907,-102.780037
Z58795,58795,524156422,10643040,202.38,4.11,198,175,48.640375,-103.156753
Z58801,58801,2153625645,91481225,831.52,35.32,18371,8179,48.21789,-103.763084
Z58830,58830,767513781,10724626,296.34,4.14,213,153,48.611872,-103.461197
Z58831,58831,858003866,6941533,331.28,2.68,472,255,47.799354,-103.658527
Z58833,58833,220199227,6748618,85.02,2.61,80,71,48.887118,-103.510039
Z58835,58835,591169602,24165113,228.25,9.33,313,174,47.767584,-103.436929
Z58838,58838,643373488,18709771,248.41,7.22,199,101,47.769991,-103.900837
Z58843,58843,554682384,41552988,214.16,16.04,466,247,48.23386,-103.37749
Z58844,58844,608257024,14604808,234.85,5.64,142,112,48.887526,-103.749952
Z58845,58845,667384060,22517265,257.68,8.69,371,213,48.641039,-103.917535
Z58847,58847,506692736,108523,195.64,0.04,283,125,47.910892,-102.907792
Z58849,58849,657092892,12492038,253.7,4.82,883,521,48.317528,-103.202925
Z58852,58852,898826133,52482687,347.04,20.26,1750,933,48.364287,-102.946753
Z58853,58853,9721795,0,3.75,0,292,118,48.07543,-103.836881
Z58854,58854,1565821259,61331620,604.57,23.68,2804,1417,47.828352,-103.15327
Z58856,58856,478143343,6497295,184.61,2.51,131,88,48.595028,-103.732863
Z59001,59001,413032866,172048,159.47,0.07,1643,904,45.532893,-109.532582
Z59002,59002,168867755,163251,65.2,0.06,165,75,46.008342,-108.657558
Z59003,59003,1765141299,94638,681.52,0.04,1160,531,45.445763,-106.202189
Z59006,59006,167057599,32428,64.5,0.01,926,398,45.92083,-108.08888
Z59007,59007,149104807,20761,57.57,0.01,113,79,45.141007,-109.129926
Z59008,59008,263558917,1891042,101.76,0.73,410,215,45.061726,-109.08775
Z59010,59010,857413150,2040670,331.05,0.79,102,55,45.99271,-107.286066
Z59011,59011,2425232886,10399784,936.39,4.02,3027,1694,45.924753,-109.949163
Z59012,59012,668153928,139927,257.98,0.05,249,119,45.274847,-106.439398
Z59013,59013,7778110,0,3,0,127,69,45.456107,-109.087117
Z59014,59014,1069450929,2310775,412.92,0.89,1446,736,45.193946,-108.759696
Z59015,59015,640740098,1403203,247.39,0.54,576,200,46.054068,-108.803789
Z59016,59016,1021686192,222617,394.48,0.09,1089,333,45.392677,-106.947305
Z59018,59018,541370748,125414,209.02,0.05,602,337,45.852744,-110.541821
Z59019,59019,890788209,9632569,343.94,3.72,3972,1888,45.651783,-109.217531
Z59020,59020,608359724,7811250,234.89,3.02,77,162,45.107963,-110.101355
Z59022,59022,431463992,187704,166.59,0.07,1945,481,45.537869,-107.287695
Z59024,59024,1297924724,10959573,501.13,4.23,390,220,46.278426,-107.807114
Z59025,59025,1174689788,8811169,453.55,3.4,56,74,45.10718,-106.633203
Z59026,59026,53305971,379524,20.58,0.15,194,91,45.485365,-108.78437
Z59027,59027,558189936,3010625,215.52,1.16,836,622,45.242151,-110.912914
Z59028,59028,566512289,3144736,218.73,1.21,434,369,45.302402,-109.713875
Z59029,59029,263006925,1472873,101.55,0.57,733,375,45.407971,-108.79881
Z59030,59030,1251086900,2694589,483.05,1.04,1263,875,45.104515,-110.518994
Z59031,59031,181846931,19814,70.21,0.01,339,106,45.502431,-107.414815
Z59032,59032,1094795048,1641241,422.7,0.63,408,206,47.024621,-108.703075
Z59033,59033,197167201,3937444,76.13,1.52,334,165,45.729478,-109.701409
Z59034,59034,1978239194,14688180,763.8,5.67,5189,2111,45.697254,-107.693463
Z59035,59035,195460638,1387995,75.47,0.54,227,238,45.283,-107.963105
Z59036,59036,1471712276,516087,568.23,0.2,1505,765,46.480275,-109.933967
Z59037,59037,486150088,3377221,187.7,1.3,1672,719,45.823982,-108.242236
Z59038,59038,2262373942,15441085,873.51,5.96,656,382,46.203126,-107.207584
Z59039,59039,1129649358,1753444,436.16,0.68,28,31,46.686774,-107.291122
Z59041,59041,509552693,3572184,196.74,1.38,1950,921,45.526812,-108.982487
Z59043,59043,1056594513,176921,407.95,0.07,2950,863,45.550799,-106.676381
Z59044,59044,459283638,6167714,177.33,2.38,10971,4588,45.630153,-108.728479
Z59046,59046,1445004507,2317745,557.92,0.89,390,218,46.398483,-109.015696
Z59047,59047,2321030241,7785868,896.15,3.01,11880,6506,45.547286,-110.571103
Z59050,59050,1586546107,2589598,612.57,1,1715,540,45.236633,-107.544498
Z59052,59052,1799070966,3810610,694.63,1.47,139,321,45.466295,-110.14513
Z59053,59053,1524283190,2930672,588.53,1.13,354,299,46.46129,-110.459635
Z59054,59054,1677555491,1270215,647.71,0.49,315,184,46.644536,-107.748778
Z59055,59055,636685509,322925,245.83,0.12,59,40,46.108998,-109.809893
Z59057,59057,683917985,791517,264.06,0.31,692,292,45.853502,-108.933193
Z59058,59058,1025928744,4311922,396.11,1.66,50,34,47.147005,-107.717565
Z59059,59059,643514363,22458,248.46,0.01,146,129,46.407918,-108.072627
Z59061,59061,696829250,3181101,269.05,1.23,272,401,45.266327,-109.890082
Z59062,59062,340563545,126450,131.49,0.05,35,32,45.092944,-106.1504
Z59063,59063,180362409,2260946,69.64,0.87,2058,841,45.669765,-108.948235
Z59064,59064,386415629,4181453,149.2,1.61,284,132,45.819184,-107.977538
Z59065,59065,152909539,1805589,59.04,0.7,197,151,45.271428,-110.71508
Z59066,59066,776951938,87423,299.98,0.03,701,236,45.335866,-108.510339
Z59067,59067,899205514,3379227,347.19,1.3,221,137,46.000389,-109.217637
Z59068,59068,1366767095,14296578,527.71,5.52,3580,2913,45.119299,-109.446013
Z59069,59069,906035027,2502196,349.82,0.97,461,263,45.820354,-109.500979
Z59070,59070,405868921,2877594,156.71,1.11,1047,651,45.375314,-109.186103
Z59071,59071,255969478,698595,98.83,0.27,104,239,45.245669,-109.631058
Z59072,59072,2590049840,6082879,1000.02,2.35,4140,2366,46.471294,-108.545192
Z59074,59074,1559932913,270536,602.29,0.1,490,261,46.36306,-109.353209
Z59075,59075,751221687,3314682,290.05,1.28,289,141,45.405332,-107.88361
Z59076,59076,30794313,0,11.89,0,33,22,46.27875,-107.073958
Z59077,59077,1410654841,1199874,544.66,0.46,79,58,47.205086,-107.600606
Z59078,59078,639814201,8069924,247.03,3.12,145,146,46.333651,-109.610551
Z59079,59079,917152356,1424226,354.11,0.55,3481,1354,46.062118,-108.363308
Z59081,59081,2317387,0,0.89,0,9,98,45.00832,-109.973519
Z59082,59082,753595,39485,0.29,0.02,39,18,45.743009,-110.225294
Z59085,59085,760080381,4395462,293.47,1.7,88,88,46.331578,-110.18523
Z59086,59086,1241215140,2801616,479.24,1.08,727,489,46.072243,-110.561218
Z59087,59087,3837677535,47779218,1481.74,18.45,436,295,47.141917,-108.226575
Z59088,59088,853308771,5560187,329.46,2.15,1373,613,46.074337,-108.093579
Z59089,59089,642214330,128945,247.96,0.05,467,153,45.083475,-107.361533
Z59101,59101,1318340900,7299954,509.01,2.82,39562,17387,45.613054,-108.390305
Z59102,59102,38267476,0,14.78,0,46564,21613,45.775649,-108.580206
Z59105,59105,269289047,2565941,103.97,0.99,29624,11855,45.892816,-108.497574
Z59106,59106,251089534,39400,96.95,0.02,12375,4798,45.813662,-108.705501
Z59201,59201,3567261549,26659547,1377.33,10.29,5100,2048,48.172933,-105.699503
Z59211,59211,276106262,63962,106.61,0.02,125,97,48.698644,-104.349863
Z59212,59212,791637677,8997685,305.65,3.47,373,187,48.222386,-104.143067
Z59213,59213,1140011975,10817936,440.16,4.18,772,283,48.189413,-104.886609
Z59214,59214,887417572,18260838,342.63,7.05,120,73,47.307279,-105.993835
Z59215,59215,3436097462,19604238,1326.68,7.57,1135,606,47.518194,-105.77482
Z59217,59217,9007765,0,3.48,0,100,42,47.579319,-104.249465
Z59218,59218,848197656,3888773,327.49,1.5,927,449,48.082623,-104.560133
Z59219,59219,661650920,11294734,255.46,4.36,199,120,48.526096,-104.219763
Z59221,59221,733263938,15561187,283.11,6.01,1658,795,47.934086,-104.188313
Z59222,59222,611581071,191834,236.13,0.07,221,147,48.693491,-105.116454
Z59223,59223,575199149,64229742,222.09,24.8,364,290,47.833775,-106.212668
Z59225,59225,794513020,3959470,306.76,1.53,560,203,48.284384,-105.975287
